TweetID,NoRetweets
665776,325
665777,428
665778,325
665779,428
665780,325
665781,325
665782,325
665783,428
665784,428
665785,325
665786,428
665787,325
665788,325
665789,428
665790,325
665791,325
665792,325
665793,325
665794,428
665795,325
665796,325
665797,325
665798,325
665799,325
665800,325
665801,325
665802,325
665803,325
665804,325
665805,325
665806,316
665807,325
665808,428
665809,325
665810,325
665811,428
665812,316
665813,325
665814,428
665815,325
665816,325
665817,325
665818,325
665819,325
665820,325
665821,325
665822,325
665823,325
665824,325
665825,325
665826,428
665827,325
665828,428
665829,325
665830,325
665831,325
665832,325
665833,325
665834,325
665835,325
665836,325
665837,316
665838,428
665839,325
665840,325
665841,325
665842,325
665843,325
665844,325
665845,325
665846,325
665847,325
665848,325
665849,428
665850,325
665851,325
665852,325
665853,325
665854,325
665855,325
665856,325
665857,325
665858,325
665859,325
665860,325
665861,325
665862,325
665863,325
665864,428
665865,325
665866,325
665867,325
665868,325
665869,325
665870,325
665871,325
665872,325
665873,325
665874,325
665875,325
665876,325
665877,325
665878,325
665879,325
665880,325
665881,325
665882,325
665883,325
665884,325
665885,428
665886,325
665887,325
665888,325
665889,325
665890,428
665891,325
665892,325
665893,325
665894,325
665895,325
665896,325
665897,428
665898,325
665899,325
665900,325
665901,325
665902,316
665903,325
665904,325
665905,325
665906,325
665907,325
665908,325
665909,325
665910,325
665911,325
665912,428
665913,428
665914,325
665915,316
665916,325
665917,325
665918,325
665919,325
665920,325
665921,325
665922,325
665923,325
665924,428
665925,325
665926,428
665927,316
665928,325
665929,325
665930,316
665931,325
665932,325
665933,325
665934,325
665935,553
665936,325
665937,325
665938,325
665939,325
665940,325
665941,316
665942,325
665943,325
665944,325
665945,325
665946,316
665947,428
665948,325
665949,325
665950,325
665951,316
665952,325
665953,428
665954,325
665955,428
665956,325
665957,325
665958,325
665959,325
665960,325
665961,325
665962,325
665963,428
665964,325
665965,325
665966,325
665967,325
665968,428
665969,325
665970,325
665971,325
665972,325
665973,325
665974,428
665975,325
665976,325
665977,325
665978,428
665979,325
665980,325
665981,325
665982,428
665983,325
665984,325
665985,325
665986,325
665987,325
665988,325
665989,325
665990,325
665991,325
665992,325
665993,325
665994,325
665995,325
665996,325
665997,325
665998,428
665999,325
666000,325
666001,325
666002,325
666003,325
666004,428
666005,325
666006,325
666007,316
666008,428
666009,428
666010,316
666011,325
666012,325
666013,325
